run_num, total_runs, model_name, model_num, iter_num, filter,  cancer_ratio_train, cancer_ratio_test, accuracy, train_dataset_size, test_dataset_size, learning_rate, batch_size, optimizer, elapsed_mins
1,30,cnn1,1,1,none,0.53,0.46,0.62,56,306,0.005,8,SDG,27
2,30,cnn3,2,1,none,0.53,0.46,0.71,56,306,0.005,8,SDG,21
3,30,cnn4,3,1,none,0.53,0.46,0.64,56,306,0.005,8,SDG,27
4,30,cnn1,1,1,none,0.53,0.46,0.68,56,306,0.005,32,SDG,26
5,30,cnn3,2,1,none,0.53,0.46,0.66,56,306,0.005,32,SDG,20
6,30,cnn4,3,1,none,0.53,0.46,0.68,56,306,0.005,32,SDG,26
7,30,cnn1,1,2,none,0.51,0.55,0.62,53,306,0.005,8,SDG,27
8,30,cnn3,2,2,none,0.51,0.55,0.66,53,306,0.005,8,SDG,21
9,30,cnn4,3,2,none,0.51,0.55,0.64,53,306,0.005,8,SDG,27
10,30,cnn1,1,2,none,0.51,0.55,0.87,53,306,0.005,32,SDG,26
11,30,cnn3,2,2,none,0.51,0.55,0.81,53,306,0.005,32,SDG,21
12,30,cnn4,3,2,none,0.51,0.55,0.85,53,306,0.005,32,SDG,26
13,30,cnn1,1,3,none,0.51,0.54,0.54,57,309,0.005,8,SDG,27
14,30,cnn3,2,3,none,0.51,0.54,0.58,57,309,0.005,8,SDG,21
15,30,cnn4,3,3,none,0.51,0.54,0.65,57,309,0.005,8,SDG,27
16,30,cnn1,1,3,none,0.51,0.54,0.65,57,309,0.005,32,SDG,27
17,30,cnn3,2,3,none,0.51,0.54,0.51,57,309,0.005,32,SDG,21
18,30,cnn4,3,3,none,0.51,0.54,0.65,57,309,0.005,32,SDG,26
19,30,cnn1,1,4,none,0.51,0.59,0.69,59,305,0.005,8,SDG,27
20,30,cnn3,2,4,none,0.51,0.59,0.66,59,305,0.005,8,SDG,21
21,30,cnn4,3,4,none,0.51,0.59,0.66,59,305,0.005,8,SDG,27
22,30,cnn1,1,4,none,0.51,0.59,0.75,59,305,0.005,32,SDG,26
23,30,cnn3,2,4,none,0.51,0.59,0.75,59,305,0.005,32,SDG,21
24,30,cnn4,3,4,none,0.51,0.59,0.75,59,305,0.005,32,SDG,26
25,30,cnn1,1,5,none,0.5,0.48,0.65,54,308,0.005,8,SDG,27
26,30,cnn3,2,5,none,0.5,0.48,0.67,54,308,0.005,8,SDG,21
27,30,cnn4,3,5,none,0.5,0.48,0.7,54,308,0.005,8,SDG,27
28,30,cnn1,1,5,none,0.5,0.48,0.72,54,308,0.005,32,SDG,26
29,30,cnn3,2,5,none,0.5,0.48,0.69,54,308,0.005,32,SDG,21
30,30,cnn4,3,5,none,0.5,0.48,0.72,54,308,0.005,32,SDG,26
